trial_id,Accuracy,FR_neuron2[AHL2],FR_neuron3[AHL2],FR_neuron4[AHL2],FR_neuron5[AHL2],FR_neuron6[AHL2],FR_neuron7[AHL2],FR_neuron8[AHL2],FR_neuron9[AHL2],FR_neuron10[AHL5],FR_neuron11[AHL5],FR_neuron12[AHL5],FR_neuron13[AHL5],FR_neuron14[AHL7],FR_neuron15[AHL7],FR_neuron16[AHL7],FR_neuron17[AHL8],FR_neuron18[AHL8],FR_neuron19[AHL8],FR_neuron20[AHL8],FR_neuron21[AHR2],FR_neuron22[AHR6],acc_bin
4,Incorrect,[0.0],[4.444444444444452],[1.111111111111113],[0.0],[1.111111111111113],[0.0],[0.0],[0.0],[3.333333333333339],[1.111111111111113],[0.0],[1.111111111111113],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1.111111111111113],[0.0],0
32,Correct,[0.0],[2.222222222222208],[1.111111111111104],[0.0],[0.0],[0.0],[0.0],[1.111111111111104],[0.0],[0.0],[0.0],[0.0],[1.111111111111104],[0.0],[1.111111111111104],[0.0],[0.0],[1.111111111111104],[0.0],[1.111111111111104],[0.0],1
36,Correct,[0.0],[2.222222222222208],[2.222222222222208],[0.0],[3.333333333333312],[1.111111111111104],[0.0],[1.111111111111104],[4.444444444444416],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[5.555555555555521],[0.0],[0.0],[0.0],[3.333333333333312],1
40,Incorrect,[0.0],[4.444444444444416],[1.111111111111104],[0.0],[3.333333333333312],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[2.222222222222208],[0.0],[1.111111111111104],[0.0],[3.333333333333312],[2.222222222222208],[0.0],[0.0],[0.0],0
48,Correct,[0.0],[3.333333333333312],[1.111111111111104],[0.0],[0.0],[0.0],[2.222222222222208],[0.0],[1.111111111111104],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],1
64,Correct,[0.0],[1.111111111111104],[2.222222222222208],[0.0],[11.111111111111041],[4.444444444444416],[0.0],[2.222222222222208],[3.333333333333312],[0.0],[0.0],[1.111111111111104],[2.222222222222208],[0.0],[1.111111111111104],[0.0],[4.444444444444416],[0.0],[0.0],[0.0],[1.111111111111104],1
100,Correct,[0.0],[6.666666666666624],[3.333333333333312],[0.0],[5.555555555555521],[0.0],[2.222222222222208],[0.0],[9.999999999999936],[0.0],[0.0],[4.444444444444416],[3.333333333333312],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],1
124,Correct,[1.111111111111104],[4.444444444444416],[3.333333333333312],[0.0],[1.111111111111104],[2.222222222222208],[0.0],[0.0],[3.333333333333312],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[3.333333333333312],[1.111111111111104],[0.0],[0.0],[0.0],[0.0],1
128,Correct,[0.0],[4.444444444444416],[1.111111111111104],[0.0],[3.333333333333312],[0.0],[0.0],[1.111111111111104],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],1
132,Correct,[0.0],[2.222222222222208],[1.111111111111104],[0.0],[1.111111111111104],[1.111111111111104],[4.444444444444416],[1.111111111111104],[2.222222222222208],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[2.222222222222208],[0.0],[0.0],[0.0],[1.111111111111104],1
140,Correct,[0.0],[2.222222222222208],[0.0],[0.0],[4.444444444444416],[0.0],[1.111111111111104],[0.0],[3.333333333333312],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1.111111111111104],[0.0],1
