trial_id,Accuracy,FR_neuron27[ECL1],FR_neuron28[ECL1],FR_neuron29[ECL1],FR_neuron30[ECL1],FR_neuron31[ECL3],acc_bin
7,Incorrect,[6.74081927378188],[0.8088983128538256],[0.5392655419025504],[0.2696327709512752],[0.2696327709512752],0
35,Correct,[8.453191236232273],[0.6261623137949832],[0.3130811568974916],[1.5654057844874583],[0.3130811568974916],1
39,Correct,[4.9919071676417675],[0.9508394605031937],[0.47541973025159684],[0.47541973025159684],[0.0],1
43,Incorrect,[3.007150773219422],[1.1565964512382392],[1.619235031733535],[1.387915741485887],[0.0],0
51,Correct,[6.1193648631390465],[0.7981780256268322],[0.0],[0.5321186837512215],[0.0],1
67,Correct,[5.2296157896363225],[0.0],[0.23770980861983285],[2.1393882775784956],[0.0],1
103,Correct,[6.47118650283058],[1.0785310838050968],[0.0],[1.0785310838050968],[0.0],1
127,Correct,[8.140028527669251],[0.3130780202949712],[0.9392340608849136],[0.3130780202949712],[0.0],1
131,Correct,[6.367929033912027],[1.1792461173911162],[0.7075476704346697],[1.1792461173911162],[0.23584922347822324],1
135,Correct,[5.361542818912705],[1.6317739014082144],[0.23311055734403063],[1.3986633440641838],[0.0],1
143,Correct,[6.201555404021869],[0.2696328436531248],[0.0],[1.0785313746124991],[0.5392656873062496],1
159,Incorrect,[5.70507880377819],[0.7131348504722738],[0.4754232336481825],[1.6639813177686387],[0.0],0
195,Correct,[6.201555404021869],[0.8088985309593743],[1.0785313746124991],[1.0785313746124991],[0.2696328436531248],1
223,Correct,[3.4438927258724235],[1.252324627589972],[0.0],[1.252324627589972],[0.626162313794986],1
227,Correct,[7.606713875834625],[0.9508392344793282],[0.7131294258594961],[1.18854904309916],[0.23770980861983204],1
231,Incorrect,[3.9324288438566986],[1.3879160625376583],[0.23131934375627639],[0.46263868751255277],[0.0],0
239,Correct,[4.85338987712301],[1.8874293966589482],[1.61779662570767],[1.3481638547563914],[0.0],1
255,Correct,[2.6148078948181523],[0.7131294258594961],[0.23770980861983204],[1.6639686603388242],[0.0],1
291,Correct,[4.044492654796933],[1.8874299055719024],[0.5392656873062578],[0.5392656873062578],[0.0],1
319,Correct,[5.6354061296311215],[0.0],[0.0],[2.1915468281898804],[0.3130781183128401],1
323,Correct,[4.9919059810166075],[0.9508392344793538],[0.7131294258595153],[0.9508392344793538],[0.0],1
327,Incorrect,[5.551704060863349],[1.6192470177518101],[0.9252840101438915],[1.3879260152158372],[0.23132100253597287],0
335,Incorrect,[4.853389877122935],[2.965960480464016],[2.6963277095127416],[1.617796625707645],[0.2696327709512742],0
351,Correct,[7.606713875834625],[1.4262588517189922],[0.4754196172396641],[0.4754196172396641],[0.0],1
387,Correct,[4.583757106171801],[1.348163854756412],[0.26963277095128246],[1.6177966257076946],[0.0],1
415,Incorrect,[2.8177021826546658],[2.5046241623597028],[0.9392340608848886],[1.2523120811798514],[0.31307802029496284],0
419,Correct,[6.655925271074465],[0.9508464672963521],[0.0],[0.9508464672963521],[0.47542323364817607],1
423,Correct,[3.902440816041751],[2.065998079080927],[1.6068873948407212],[1.6068873948407212],[0.0],1
431,Incorrect,[2.257390697142439],[0.37623178285707315],[0.47028972857134144],[0.47028972857134144],[0.09405794571426829],0
443,Correct,[2.614827163490177],[1.1885578015864442],[0.23771156031728882],[1.426269361903733],[0.0],1
479,Incorrect,[7.010453934981029],[0.539265687306233],[0.539265687306233],[1.3481642182655824],[0.539265687306233],0
507,Correct,[5.6354061296311215],[0.6261562366256802],[1.8784687098770405],[1.2523124732513604],[0.0],1
511,Correct,[4.041066746537036],[0.9508392344793024],[0.4754196172396512],[1.6639686603387793],[0.2377098086198256],1
515,Correct,[2.5445310278955677],[0.6939630076078821],[0.0],[0.2313210025359607],[0.6939630076078821],1
523,Correct,[7.8194178254682365],[0.8089052922898176],[0.2696350974299392],[1.8874456820095744],[0.2696350974299392],1
539,Correct,[2.3770980861982562],[1.1885490430991281],[0.2377098086198256],[1.1885490430991281],[0.2377098086198256],1
575,Correct,[5.392701948598784],[0.2696350974299392],[0.5392701948598784],[1.0785403897197567],[0.8089052922898176],1
603,Correct,[5.6354061296311215],[0.3130781183128401],[0.9392343549385203],[0.3130781183128401],[0.0],1
607,Incorrect,[5.94274521549564],[1.4262588517189536],[0.4754196172396512],[0.9508392344793024],[0.0],0
611,Correct,[3.007173032967647],[0.0],[0.9252840101438915],[0.23132100253597287],[0.0],1
619,Correct,[4.853431753738906],[1.0785403897197567],[0.5392701948598784],[1.6178105845796351],[0.0],1
635,Correct,[3.565647129297384],[0.9508392344793024],[0.2377098086198256],[0.2377098086198256],[0.2377098086198256],1
671,Correct,[9.167514212343322],[0.8088983128538225],[0.2696327709512742],[0.8088983128538225],[0.2696327709512742],1
699,Correct,[5.635459059798536],[2.5046484710215715],[0.31308105887769644],[0.31308105887769644],[0.0],1
703,Correct,[0.8984856742748586],[0.26954570228245756],[0.08984856742748586],[0.26954570228245756],[0.0],1
711,Incorrect,[4.314125498449864],[0.2696328436531165],[0.2696328436531165],[0.8088985309593495],[0.8088985309593495],0
727,Correct,[3.0902275120577327],[0.9508392344793024],[0.0],[0.9508392344793024],[0.0],1
