trial_id,Accuracy,FR_neuron27[ECL1],FR_neuron28[ECL1],FR_neuron29[ECL1],FR_neuron30[ECL1],FR_neuron31[ECL3],acc_bin
106,Correct,"[10.0, 17.5, 5.0, 17.5, 2.5, 7.5, 7.5, 15.0, 5.0, 7.5, 10.0, 2.5]","[0.0, 0.0, 2.5, 2.5, 0.0, 0.0, 2.5, 2.5, 12.5, 0.0, 5.0, 2.5]","[0.0, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 7.5, 2.5, 0.0, 5.0, 2.5]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 2.5, 5.0, 2.5, 5.0, 0.0]","[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0]",1
108,Incorrect,"[5.0, 2.5, 30.0, 5.0, 7.5, 12.5, 12.5, 2.5, 20.0, 15.0, 5.0, 7.5]","[0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 7.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 5.0, 0.0, 7.5, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 5.0, 2.5, 0.0, 5.0, 2.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0]",0
111,Correct,"[10.0, 15.0, 12.5, 2.5, 5.0, 7.5, 10.0, 5.0, 5.0, 2.5, 2.5, 7.5]","[0.0, 2.5, 2.5, 0.0, 0.0, 2.5, 2.5, 0.0, 2.5, 2.5, 2.5, 2.5]","[0.0, 2.5, 5.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 2.5, 2.5, 5.0, 2.5, 2.5]","[0.0, 2.5, 2.5, 0.0, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
120,Incorrect,"[7.5, 10.0, 5.0, 5.0, 7.5, 7.5, 2.5, 15.0, 20.0, 17.5, 5.0, 7.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 2.5, 2.5, 0.0, 0.0, 2.5, 2.5, 2.5, 5.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0]",0
127,Correct,"[7.5, 7.5, 7.5, 7.5, 30.0, 15.0, 7.5, 12.5, 10.0, 10.0, 5.0, 5.0]","[5.0, 2.5, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0]","[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 7.5, 2.5, 2.5, 0.0, 2.5, 0.0]","[0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 5.0, 2.5, 2.5, 0.0, 0.0, 2.5]","[0.0, 0.0, 5.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
128,Correct,"[12.5, 10.0, 5.0, 2.5, 12.5, 7.5, 12.5, 10.0, 15.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 7.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0]","[0.0, 2.5, 5.0, 2.5, 5.0, 0.0, 7.5, 7.5, 0.0, 2.5, 0.0, 2.5]","[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0]",1
129,Correct,"[10.0, 17.5, 10.0, 5.0, 15.0, 7.5, 15.0, 5.0, 0.0, 0.0, 7.5, 7.5]","[5.0, 0.0, 0.0, 0.0, 5.0, 2.5, 2.5, 0.0, 0.0, 0.0, 7.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.5, 2.5, 5.0, 5.0, 5.0, 5.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 2.5, 2.5, 0.0]",1
131,Correct,"[2.5, 10.0, 7.5, 7.5, 5.0, 5.0, 2.5, 22.5, 12.5, 20.0, 12.5, 2.5]","[5.0, 2.5, 0.0, 2.5, 5.0, 2.5, 0.0, 0.0, 5.0, 0.0, 0.0, 2.5]","[0.0, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0]","[0.0, 5.0, 2.5, 2.5, 2.5, 0.0, 2.5, 5.0, 5.0, 2.5, 2.5, 0.0]","[0.0, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0]",1
135,Correct,"[7.5, 12.5, 7.5, 2.5, 7.5, 2.5, 7.5, 7.5, 2.5, 2.5, 7.5, 2.5]","[0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 2.5, 7.5, 5.0, 0.0, 0.0, 0.0]","[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5]","[0.0, 0.0, 2.5, 0.0, 2.5, 2.5, 0.0, 0.0, 0.0, 2.5, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0]",1
144,Correct,"[7.5, 12.5, 10.0, 5.0, 12.5, 5.0, 10.0, 12.5, 10.0, 2.5, 10.0, 5.0]","[0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 5.0, 0.0]","[2.5, 0.0, 2.5, 12.5, 2.5, 2.5, 2.5, 2.5, 2.5, 0.0, 2.5, 0.0]","[0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 2.5, 2.5, 0.0, 0.0]",1
151,Correct,"[10.0, 12.5, 10.0, 7.5, 15.0, 10.0, 12.5, 2.5, 7.5, 20.0, 7.5, 2.5]","[2.5, 0.0, 2.5, 2.5, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0, 2.5, 0.0, 0.0, 5.0, 0.0]","[2.5, 2.5, 0.0, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
152,Incorrect,"[5.0, 15.0, 7.5, 7.5, 0.0, 10.0, 15.0, 15.0, 15.0, 5.0, 7.5, 7.5]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 2.5, 2.5, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0, 0.0, 0.0]","[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 2.5, 0.0, 0.0, 2.5]","[0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
153,Correct,"[15.0, 7.5, 5.0, 5.0, 7.5, 25.0, 10.0, 2.5, 0.0, 15.0, 15.0, 0.0]","[7.5, 0.0, 2.5, 10.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 7.5, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 5.0, 2.5]","[2.5, 2.5, 0.0, 5.0, 2.5, 0.0, 5.0, 0.0, 0.0, 2.5, 0.0, 0.0]","[0.0, 0.0, 2.5, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
155,Correct,"[5.0, 5.0, 7.5, 12.5, 12.5, 2.5, 10.0, 2.5, 7.5, 5.0, 10.0, 10.0]","[0.0, 0.0, 2.5, 2.5, 0.0, 0.0, 2.5, 0.0, 2.5, 2.5, 2.5, 0.0]","[2.5, 0.0, 0.0, 5.0, 2.5, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.5, 2.5, 2.5, 2.5, 5.0, 2.5, 0.0, 2.5]","[0.0, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
159,Correct,"[17.5, 0.0, 7.5, 2.5, 5.0, 10.0, 15.0, 5.0, 10.0, 2.5, 2.5, 7.5]","[0.0, 2.5, 2.5, 0.0, 0.0, 2.5, 10.0, 2.5, 0.0, 0.0, 2.5, 0.0]","[0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5]","[2.5, 2.5, 2.5, 0.0, 0.0, 2.5, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0]",1
168,Correct,"[5.0, 12.5, 12.5, 15.0, 12.5, 10.0, 20.0, 7.5, 22.5, 25.0, 12.5, 7.5]","[12.5, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 7.5, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 2.5, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0]","[2.5, 2.5, 2.5, 2.5, 0.0, 0.0, 5.0, 2.5, 2.5, 0.0, 0.0, 0.0]","[2.5, 2.5, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0]",1
175,Correct,"[2.5, 2.5, 7.5, 20.0, 5.0, 15.0, 7.5, 2.5, 12.5, 12.5, 12.5, 5.0]","[0.0, 0.0, 2.5, 5.0, 2.5, 0.0, 0.0, 0.0, 5.0, 0.0, 7.5, 7.5]","[0.0, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5]","[5.0, 2.5, 5.0, 0.0, 2.5, 2.5, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0]","[0.0, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
176,Correct,"[0.0, 20.0, 2.5, 10.0, 5.0, 12.5, 5.0, 5.0, 0.0, 5.0, 10.0, 5.0]","[2.5, 0.0, 7.5, 2.5, 0.0, 7.5, 0.0, 0.0, 0.0, 0.0, 7.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 5.0, 2.5, 0.0, 2.5, 0.0, 0.0]","[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
178,Incorrect,"[15.0, 20.0, 17.5, 20.0, 10.0, 5.0, 7.5, 5.0, 0.0, 12.5, 10.0, 5.0]","[0.0, 0.0, 2.5, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0]","[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 2.5, 7.5, 7.5, 2.5, 0.0, 5.0, 0.0, 0.0, 0.0, 2.5, 0.0]","[5.0, 2.5, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 2.5]",0
182,Correct,"[17.5, 27.5, 7.5, 7.5, 17.5, 10.0, 12.5, 10.0, 2.5, 2.5, 2.5, 7.5]","[0.0, 5.0, 0.0, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 5.0, 0.0, 2.5]","[0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[7.5, 2.5, 7.5, 10.0, 0.0, 7.5, 0.0, 0.0, 2.5, 0.0, 0.0, 7.5]","[5.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
