trial_id,Accuracy,FR_neuron27[ECL1],FR_neuron28[ECL1],FR_neuron29[ECL1],FR_neuron30[ECL1],FR_neuron31[ECL3],acc_bin
6,Incorrect,[11.111111111111084],[0.0],[0.0],[0.0],[0.0],0
34,Correct,[0.0],[0.0],[0.0],[1.1111111111111216],[0.0],1
38,Correct,[8.888888888888973],[0.0],[0.0],[2.222222222222243],[0.0],1
42,Incorrect,[10.000000000000094],[0.0],[0.0],[4.444444444444486],[0.0],0
50,Correct,[14.444444444444581],[0.0],[0.0],[2.222222222222243],[0.0],1
66,Correct,[4.444444444444486],[1.1111111111111216],[0.0],[1.1111111111111216],[0.0],1
102,Correct,[12.222222222222145],[1.111111111111104],[1.111111111111104],[4.444444444444416],[0.0],1
126,Correct,[8.888888888888832],[0.0],[0.0],[2.222222222222208],[0.0],1
130,Correct,[5.555555555555521],[1.111111111111104],[2.222222222222208],[0.0],[0.0],1
134,Correct,[4.444444444444416],[0.0],[1.111111111111104],[1.111111111111104],[0.0],1
142,Correct,[11.111111111111391],[0.0],[0.0],[1.1111111111111391],[2.2222222222222783],1
158,Incorrect,[3.333333333333207],[3.333333333333207],[0.0],[1.111111111111069],[0.0],0
194,Correct,[8.888888888888552],[0.0],[0.0],[3.333333333333207],[0.0],1
222,Correct,[4.444444444444276],[1.111111111111069],[1.111111111111069],[1.111111111111069],[0.0],1
226,Correct,[14.444444444443898],[1.111111111111069],[0.0],[4.444444444444276],[1.111111111111069],1
230,Incorrect,[9.999999999999622],[5.555555555555345],[1.111111111111069],[1.111111111111069],[0.0],0
238,Correct,[8.888888888888552],[0.0],[1.111111111111069],[4.444444444444276],[0.0],1
254,Correct,[3.333333333333207],[1.111111111111069],[0.0],[1.111111111111069],[0.0],1
290,Correct,[12.22222222222176],[1.111111111111069],[2.222222222222138],[2.222222222222138],[0.0],1
318,Correct,[7.777777777777974],[0.0],[2.2222222222222783],[2.2222222222222783],[0.0],1
322,Correct,[12.22222222222253],[1.1111111111111391],[3.3333333333334174],[0.0],[1.1111111111111391],1
326,Incorrect,[8.888888888889113],[0.0],[0.0],[3.3333333333334174],[0.0],0
334,Incorrect,[14.444444444444809],[3.3333333333334174],[1.1111111111111391],[0.0],[0.0],0
350,Correct,[7.777777777777974],[1.1111111111111391],[0.0],[2.2222222222222783],[0.0],1
386,Correct,[10.000000000000252],[2.2222222222222783],[0.0],[2.2222222222222783],[0.0],1
414,Incorrect,[5.555555555555696],[6.666666666666835],[6.666666666666835],[1.1111111111111391],[1.1111111111111391],0
418,Correct,[13.33333333333367],[2.2222222222222783],[1.1111111111111391],[1.1111111111111391],[1.1111111111111391],1
422,Correct,[5.555555555555696],[1.1111111111111391],[1.1111111111111391],[0.0],[1.1111111111111391],1
430,Incorrect,[7.777777777777974],[0.0],[1.1111111111111391],[1.1111111111111391],[0.0],0
442,Correct,[7.777777777777974],[1.1111111111111391],[0.0],[1.1111111111111391],[2.2222222222222783],1
478,Incorrect,[5.555555555556397],[1.1111111111112795],[0.0],[1.1111111111112795],[0.0],0
506,Correct,[21.11111111111431],[0.0],[0.0],[2.222222222222559],[0.0],1
510,Correct,[7.777777777778957],[1.1111111111112795],[1.1111111111112795],[3.3333333333338384],[1.1111111111112795],1
514,Correct,[12.222222222224074],[4.444444444445118],[1.1111111111112795],[5.555555555556397],[0.0],1
522,Correct,[4.444444444445118],[2.222222222222559],[1.1111111111112795],[1.1111111111112795],[1.1111111111112795],1
538,Correct,[4.444444444445118],[2.222222222222559],[0.0],[2.222222222222559],[2.222222222222559],1
574,Correct,[5.555555555556397],[0.0],[2.222222222222559],[2.222222222222559],[0.0],1
602,Correct,[14.444444444446633],[1.1111111111112795],[2.222222222222559],[1.1111111111112795],[0.0],1
606,Incorrect,[5.555555555556397],[0.0],[0.0],[0.0],[1.1111111111112795],0
610,Correct,[18.888888888891753],[2.222222222222559],[0.0],[3.3333333333338384],[1.1111111111112795],1
618,Correct,[2.222222222222559],[0.0],[0.0],[1.1111111111112795],[0.0],1
634,Correct,[8.888888888890236],[3.3333333333338384],[0.0],[2.222222222222559],[1.1111111111112795],1
670,Correct,[12.222222222224074],[1.1111111111112795],[1.1111111111112795],[1.1111111111112795],[1.1111111111112795],1
698,Correct,[12.222222222224074],[1.1111111111112795],[1.1111111111112795],[3.3333333333338384],[0.0],1
702,Correct,[10.000000000001515],[3.3333333333338384],[2.222222222222559],[1.1111111111112795],[0.0],1
710,Incorrect,[3.3333333333338384],[0.0],[0.0],[0.0],[0.0],0
726,Correct,[11.111111111112795],[0.0],[1.1111111111112795],[3.3333333333338384],[0.0],1
