trial_id,Accuracy,FR_neuron2[AHL2],FR_neuron3[AHL2],FR_neuron4[AHL2],FR_neuron5[AHL2],FR_neuron6[AHL2],FR_neuron7[AHL2],FR_neuron8[AHL2],FR_neuron9[AHL2],FR_neuron10[AHL5],FR_neuron11[AHL5],FR_neuron12[AHL5],FR_neuron13[AHL5],FR_neuron14[AHL7],FR_neuron15[AHL7],FR_neuron16[AHL7],FR_neuron17[AHL8],FR_neuron18[AHL8],FR_neuron19[AHL8],FR_neuron20[AHL8],FR_neuron21[AHR2],FR_neuron22[AHR6],acc_bin
9,Correct,[0.0],[1.2499999999999933],[1.2499999999999933],[0.0],[0.0],[1.2499999999999933],[0.0],[0.0],[0.0],[1.2499999999999933],[0.0],[2.4999999999999867],[1.2499999999999933],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1.2499999999999933],[0.0],1
25,Correct,[0.0],[6.249999999999967],[0.0],[0.0],[2.4999999999999867],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1.2499999999999933],[0.0],[0.0],[0.0],[1.2499999999999933],[0.0],[1.2499999999999933],[0.0],[0.0],1
45,Correct,[0.0],[2.500000000000009],[0.0],[0.0],[0.0],[0.0],[1.2500000000000044],[0.0],[2.500000000000009],[0.0],[0.0],[0.0],[1.2500000000000044],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1.2500000000000044],1
61,Incorrect,[0.0],[3.7500000000000133],[0.0],[0.0],[6.250000000000022],[2.500000000000009],[0.0],[0.0],[3.7500000000000133],[0.0],[0.0],[5.000000000000018],[1.2500000000000044],[0.0],[0.0],[0.0],[10.000000000000036],[1.2500000000000044],[0.0],[2.500000000000009],[0.0],0
85,Incorrect,[0.0],[10.000000000000213],[2.5000000000000533],[0.0],[7.50000000000016],[2.5000000000000533],[0.0],[0.0],[2.5000000000000533],[2.5000000000000533],[1.2500000000000266],[0.0],[0.0],[0.0],[1.2500000000000266],[0.0],[6.250000000000133],[0.0],[2.5000000000000533],[0.0],[1.2500000000000266],0
93,Correct,[0.0],[3.75000000000008],[2.5000000000000533],[0.0],[3.75000000000008],[1.2500000000000266],[1.2500000000000266],[0.0],[1.2500000000000266],[0.0],[0.0],[1.2500000000000266],[0.0],[0.0],[1.2500000000000266],[0.0],[1.2500000000000266],[0.0],[0.0],[0.0],[1.2500000000000266],1
105,Correct,[0.0],[1.2500000000000266],[1.2500000000000266],[1.2500000000000266],[17.500000000000373],[0.0],[2.5000000000000533],[1.2500000000000266],[2.5000000000000533],[2.5000000000000533],[0.0],[0.0],[5.000000000000107],[0.0],[0.0],[0.0],[2.5000000000000533],[2.5000000000000533],[1.2500000000000266],[0.0],[1.2500000000000266],1
117,Incorrect,[0.0],[0.0],[1.2500000000000266],[2.5000000000000533],[6.250000000000133],[0.0],[1.2500000000000266],[0.0],[1.2500000000000266],[0.0],[0.0],[1.2500000000000266],[6.250000000000133],[0.0],[2.5000000000000533],[1.2500000000000266],[8.750000000000187],[1.2500000000000266],[1.2500000000000266],[0.0],[0.0],0
137,Correct,[0.0],[3.75000000000008],[0.0],[0.0],[3.75000000000008],[0.0],[3.75000000000008],[0.0],[2.5000000000000533],[0.0],[0.0],[0.0],[2.5000000000000533],[0.0],[0.0],[0.0],[1.2500000000000266],[0.0],[0.0],[1.2500000000000266],[0.0],1
153,Correct,[0.0],[2.4999999999999645],[0.0],[0.0],[1.2499999999999822],[0.0],[4.999999999999929],[2.4999999999999645],[0.0],[0.0],[0.0],[0.0],[1.2499999999999822],[0.0],[2.4999999999999645],[0.0],[1.2499999999999822],[0.0],[0.0],[0.0],[0.0],1
177,Correct,[0.0],[6.249999999999911],[1.2499999999999822],[1.2499999999999822],[8.749999999999876],[0.0],[0.0],[0.0],[2.4999999999999645],[1.2499999999999822],[0.0],[0.0],[3.7499999999999467],[0.0],[1.2499999999999822],[0.0],[3.7499999999999467],[2.4999999999999645],[0.0],[1.2499999999999822],[0.0],1
185,Correct,[0.0],[3.7499999999999467],[1.2499999999999822],[0.0],[0.0],[0.0],[1.2499999999999822],[0.0],[1.2499999999999822],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],1
197,Incorrect,[0.0],[4.999999999999929],[1.2499999999999822],[0.0],[6.249999999999911],[0.0],[0.0],[1.2499999999999822],[1.2499999999999822],[1.2499999999999822],[0.0],[1.2499999999999822],[0.0],[0.0],[0.0],[0.0],[2.4999999999999645],[0.0],[0.0],[0.0],[1.2499999999999822],0
213,Incorrect,[1.2499999999999822],[2.4999999999999645],[2.4999999999999645],[0.0],[4.999999999999929],[0.0],[0.0],[2.4999999999999645],[3.7499999999999467],[0.0],[1.2499999999999822],[0.0],[3.7499999999999467],[1.2499999999999822],[0.0],[1.2499999999999822],[8.749999999999876],[0.0],[0.0],[0.0],[0.0],0
233,Correct,[6.249999999999911],[2.4999999999999645],[1.2499999999999822],[0.0],[8.749999999999876],[1.2499999999999822],[1.2499999999999822],[1.2499999999999822],[6.249999999999911],[0.0],[1.2499999999999822],[0.0],[3.7499999999999467],[0.0],[1.2499999999999822],[1.2499999999999822],[12.499999999999822],[1.2499999999999822],[2.4999999999999645],[0.0],[0.0],1
249,Correct,[2.4999999999999645],[2.4999999999999645],[3.7499999999999467],[0.0],[1.2499999999999822],[0.0],[1.2499999999999822],[0.0],[1.2499999999999822],[0.0],[1.2499999999999822],[0.0],[1.2499999999999822],[1.2499999999999822],[1.2499999999999822],[1.2499999999999822],[2.4999999999999645],[0.0],[1.2499999999999822],[0.0],[0.0],1
273,Correct,[0.0],[1.2499999999999822],[1.2499999999999822],[0.0],[3.7499999999999467],[0.0],[0.0],[0.0],[1.2499999999999822],[0.0],[0.0],[0.0],[1.2499999999999822],[0.0],[0.0],[0.0],[4.999999999999929],[0.0],[1.2499999999999822],[0.0],[0.0],1
281,Correct,[1.2499999999999822],[4.999999999999929],[1.2499999999999822],[3.7499999999999467],[3.7499999999999467],[8.749999999999876],[0.0],[1.2499999999999822],[7.499999999999893],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[7.499999999999893],[3.7499999999999467],[0.0],[0.0],[0.0],1
293,Incorrect,[0.0],[8.749999999999876],[0.0],[0.0],[1.2499999999999822],[0.0],[0.0],[1.2499999999999822],[0.0],[0.0],[0.0],[0.0],[0.0],[1.2499999999999822],[0.0],[0.0],[2.4999999999999645],[0.0],[0.0],[3.7499999999999467],[2.4999999999999645],0
309,Incorrect,[0.0],[0.0],[2.499999999999787],[0.0],[0.0],[1.2499999999998934],[1.2499999999998934],[0.0],[4.999999999999574],[1.2499999999998934],[0.0],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[3.7499999999996803],[0.0],[0.0],[0.0],[1.2499999999998934],0
329,Incorrect,[0.0],[3.7499999999996803],[1.2499999999998934],[0.0],[6.249999999999467],[0.0],[1.2499999999998934],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[0.0],[2.499999999999787],[0.0],[0.0],[0.0],[1.2499999999998934],0
345,Correct,[3.7499999999996803],[3.7499999999996803],[1.2499999999998934],[0.0],[1.2499999999998934],[1.2499999999998934],[0.0],[0.0],[7.4999999999993605],[0.0],[1.2499999999998934],[0.0],[2.499999999999787],[1.2499999999998934],[0.0],[1.2499999999998934],[2.499999999999787],[0.0],[0.0],[0.0],[1.2499999999998934],1
369,Incorrect,[0.0],[2.499999999999787],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[0.0],[2.499999999999787],[0.0],[0.0],[0.0],[7.4999999999993605],[0.0],[0.0],[0.0],[0.0],0
377,Correct,[0.0],[2.499999999999787],[1.2499999999998934],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],1
389,Incorrect,[0.0],[2.499999999999787],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[3.7499999999996803],[0.0],[0.0],[0.0],[2.499999999999787],0
405,Correct,[0.0],[3.7499999999996803],[1.2499999999998934],[0.0],[1.2499999999998934],[0.0],[1.2499999999998934],[0.0],[6.249999999999467],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],1
425,Correct,[0.0],[2.499999999999787],[1.2499999999998934],[0.0],[8.749999999999254],[0.0],[1.2499999999998934],[0.0],[3.7499999999996803],[0.0],[0.0],[0.0],[2.499999999999787],[0.0],[1.2499999999998934],[0.0],[3.7499999999996803],[1.2499999999998934],[0.0],[1.2499999999998934],[0.0],1
437,Correct,[0.0],[2.499999999999787],[2.499999999999787],[0.0],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[0.0],[0.0],1
461,Incorrect,[0.0],[4.999999999999574],[2.499999999999787],[0.0],[9.999999999999147],[0.0],[1.2499999999998934],[1.2499999999998934],[3.7499999999996803],[0.0],[0.0],[0.0],[1.2499999999998934],[1.2499999999998934],[0.0],[1.2499999999998934],[9.999999999999147],[0.0],[2.499999999999787],[1.2499999999998934],[0.0],0
469,Correct,[0.0],[3.7499999999996803],[0.0],[0.0],[1.2499999999998934],[0.0],[1.2499999999998934],[0.0],[1.2499999999998934],[1.2499999999998934],[2.499999999999787],[0.0],[0.0],[0.0],[2.499999999999787],[0.0],[4.999999999999574],[0.0],[0.0],[1.2499999999998934],[0.0],1
481,Correct,[2.500000000000142],[2.500000000000142],[0.0],[0.0],[3.750000000000213],[2.500000000000142],[1.250000000000071],[2.500000000000142],[6.250000000000355],[1.250000000000071],[0.0],[0.0],[1.250000000000071],[0.0],[2.500000000000142],[0.0],[7.500000000000426],[0.0],[2.500000000000142],[0.0],[1.250000000000071],1
497,Incorrect,[0.0],[1.250000000000071],[1.250000000000071],[0.0],[11.25000000000064],[0.0],[1.250000000000071],[0.0],[1.250000000000071],[0.0],[0.0],[0.0],[2.500000000000142],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1.250000000000071],[1.250000000000071],0
517,Correct,[0.0],[1.250000000000071],[0.0],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[1.250000000000071],[1.250000000000071],1
533,Correct,[3.750000000000213],[7.500000000000426],[1.250000000000071],[0.0],[3.750000000000213],[2.500000000000142],[2.500000000000142],[0.0],[3.750000000000213],[0.0],[2.500000000000142],[3.750000000000213],[1.250000000000071],[1.250000000000071],[0.0],[3.750000000000213],[5.000000000000284],[1.250000000000071],[0.0],[0.0],[0.0],1
