trial_id,Accuracy,FR_neuron27[ECL1],FR_neuron28[ECL1],FR_neuron29[ECL1],FR_neuron30[ECL1],FR_neuron31[ECL3],acc_bin
3,Correct,"[5.0, 7.5, 2.5, 15.0, 2.5, 5.0, 2.5, 5.0, 5.0, 10.0, 0.0, 2.5]","[0.0, 0.0, 0.0, 5.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0]","[2.5, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 2.5, 0.0, 5.0, 2.5, 5.0, 0.0, 2.5, 0.0, 0.0, 0.0]","[2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 2.5]",1
7,Correct,"[22.5, 10.0, 2.5, 2.5, 2.5, 7.5, 5.0, 7.5, 7.5, 2.5, 7.5, 2.5]","[0.0, 0.0, 5.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0]","[2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0]","[2.5, 5.0, 0.0, 0.0, 2.5, 2.5, 0.0, 5.0, 2.5, 0.0, 0.0, 2.5]","[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0]",1
12,Correct,"[12.5, 20.0, 10.0, 5.0, 15.0, 5.0, 17.5, 12.5, 5.0, 7.5, 7.5, 2.5]","[0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 5.0, 2.5, 5.0, 2.5]","[0.0, 7.5, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.5, 7.5, 7.5, 7.5, 7.5, 2.5, 5.0, 0.0, 2.5, 5.0, 2.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
16,Incorrect,"[15.0, 10.0, 17.5, 15.0, 10.0, 25.0, 17.5, 10.0, 20.0, 7.5, 20.0, 0.0]","[7.5, 2.5, 2.5, 2.5, 0.0, 2.5, 0.0, 0.0, 5.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 2.5, 2.5, 0.0, 2.5, 0.0]","[0.0, 0.0, 2.5, 0.0, 0.0, 7.5, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0]",0
22,Incorrect,"[5.0, 7.5, 5.0, 7.5, 15.0, 20.0, 7.5, 15.0, 5.0, 15.0, 7.5, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 12.5, 2.5, 2.5, 2.5, 5.0, 5.0, 0.0]","[0.0, 2.5, 5.0, 10.0, 0.0, 2.5, 0.0, 2.5, 0.0, 7.5, 2.5, 0.0]","[5.0, 2.5, 2.5, 0.0, 0.0, 2.5, 5.0, 2.5, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0]",0
24,Correct,"[22.5, 30.0, 17.5, 12.5, 2.5, 7.5, 2.5, 7.5, 20.0, 12.5, 12.5, 0.0]","[2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 2.5, 2.5, 2.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0]","[2.5, 2.5, 2.5, 0.0, 2.5, 2.5, 2.5, 2.5, 0.0, 0.0, 0.0, 2.5]","[2.5, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5]",1
27,Correct,"[12.5, 20.0, 5.0, 10.0, 12.5, 10.0, 7.5, 15.0, 7.5, 7.5, 5.0, 7.5]","[2.5, 0.0, 0.0, 2.5, 2.5, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 2.5, 5.0, 0.0, 10.0, 2.5, 2.5, 0.0, 2.5, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
30,Incorrect,"[17.5, 17.5, 15.0, 10.0, 12.5, 12.5, 7.5, 2.5, 12.5, 5.0, 2.5, 2.5]","[5.0, 5.0, 2.5, 5.0, 2.5, 5.0, 10.0, 0.0, 7.5, 2.5, 2.5, 0.0]","[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.5, 2.5, 2.5, 0.0, 2.5, 0.0, 0.0, 7.5, 0.0, 2.5, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0]",0
35,Correct,"[12.5, 10.0, 15.0, 2.5, 10.0, 2.5, 5.0, 7.5, 5.0, 12.5, 7.5, 2.5]","[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0, 2.5, 2.5, 2.5, 0.0, 0.0, 2.5, 2.5]","[0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0]",1
39,Correct,"[5.0, 7.5, 7.5, 0.0, 12.5, 5.0, 2.5, 10.0, 30.0, 20.0, 20.0, 2.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0]","[0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.5, 7.5, 0.0, 0.0, 0.0, 0.0, 2.5, 2.5, 2.5, 2.5, 2.5, 0.0]","[2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0]",1
