trial_id,Accuracy,FR_neuron27[ECL1],FR_neuron28[ECL1],FR_neuron29[ECL1],FR_neuron30[ECL1],FR_neuron31[ECL3],acc_bin
9,Correct,"[5.0, 5.0, 25.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 10.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]",1
25,Correct,"[5.0, 0.0, 0.0, 10.0, 0.0]","[10.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
45,Correct,"[10.0, 10.0, 0.0, 5.0]","[0.0, 5.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0]","[5.0, 20.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]",1
61,Incorrect,"[20.0, 15.0, 20.0, 5.0]","[5.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0
85,Incorrect,"[5.0, 10.0, 5.0, 20.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 10.0, 15.0, 0.0]","[5.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0]",0
93,Correct,"[10.0, 35.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1
105,Correct,"[0.0, 20.0, 10.0, 5.0]","[0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]",1
117,Incorrect,"[15.0, 20.0, 5.0, 0.0]","[5.0, 0.0, 5.0, 10.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0
137,Correct,"[25.0, 0.0, 0.0, 10.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0]",1
153,Correct,"[0.0, 10.0, 0.0, 10.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0]",1
177,Correct,"[0.0, 10.0, 5.0, 5.0]","[0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1
185,Correct,"[0.0, 0.0, 15.0, 10.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0]","[0.0, 5.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0]",1
197,Incorrect,"[0.0, 0.0, 15.0, 10.0]","[0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0]",0
213,Incorrect,"[5.0, 10.0, 5.0, 10.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0
233,Correct,"[10.0, 10.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0]","[5.0, 5.0, 0.0, 0.0]","[5.0, 20.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1
249,Correct,"[5.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0]",1
273,Correct,"[10.0, 10.0, 20.0, 0.0]","[5.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1
281,Correct,"[0.0, 5.0, 5.0, 5.0]","[10.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0]","[5.0, 0.0, 0.0, 0.0]",1
293,Incorrect,"[25.0, 15.0, 10.0, 15.0]","[0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0]","[5.0, 0.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0
309,Incorrect,"[5.0, 5.0, 0.0, 35.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 10.0, 5.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]",0
329,Incorrect,"[10.0, 15.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 10.0, 0.0]","[0.0, 5.0, 0.0, 5.0, 0.0]",0
345,Correct,"[10.0, 10.0, 10.0, 10.0, 0.0]","[0.0, 5.0, 15.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
369,Incorrect,"[0.0, 15.0, 10.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
377,Correct,"[15.0, 20.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[10.0, 5.0, 5.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
389,Incorrect,"[5.0, 15.0, 15.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 5.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
405,Correct,"[10.0, 0.0, 15.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[5.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
425,Correct,"[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 15.0, 20.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]",1
437,Correct,"[20.0, 0.0, 0.0, 10.0, 0.0]","[0.0, 0.0, 15.0, 5.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
